sofascore_slug,transfermarkt_url,lig,sezon,etiket
armando-broja/996985,https://www.transfermarkt.com/armando-broja/profil/spieler/571743,Eredivisie,20/21,Centre-Forward
arnaud-kalimuendo/954061,https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959,Ligue 1,24/25,Centre-Forward
arnaud-kalimuendo/954061,https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959,Ligue 1,23/24,Centre-Forward
arnaud-kalimuendo/954061,https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959,Ligue 1,22/23,Centre-Forward
arnaud-kalimuendo/954061,https://www.transfermarkt.com/arnaud-kalimuendo/profil/spieler/585959,Ligue 1,21/22,Centre-Forward
arthur-masuaku/174975,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380,Süper Lig,24/25,Left-Back
arthur-masuaku/174975,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380,Süper Lig,23/24,Left-Back
arthur-masuaku/174975,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380,Süper Lig,22/23,Left-Back
arthur-masuaku/174975,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380,Premier League,18/19,Left-Back
arthur-masuaku/174975,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380,Super League 1,15/16,Left-Back
arthur-masuaku/174975,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380,Super League 1,14/15,Left-Back
arthur-masuaku/174975,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380,Ligue 1,13/14,Left Midfield
arthur-masuaku/174975,https://www.transfermarkt.com/arthur-masuaku/profil/spieler/181380,Premier League,17/18,Left Midfield
ashley-barnes/27028,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200,Championship,22/23,Centre-Forward
ashley-barnes/27028,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200,Premier League,18/19,Centre-Forward
ashley-barnes/27028,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200,Premier League,17/18,Centre-Forward
ashley-barnes/27028,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200,Premier League,16/17,Centre-Forward
ashley-barnes/27028,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200,Premier League,14/15,Second Striker
ashley-barnes/27028,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200,Championship,12/13,Left Winger
ashley-barnes/27028,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200,Championship,23/24,Attacking Midfield
